EventID,Label
2009.352.4.46.25.UTYR,0
2009.352.4.46.22.MOFO,1
2013.68.14.46.27.VADA,1
2013.68.14.46.27.UTYR,0
2013.68.14.46.30.HELI,1
2015.305.23.51.21.LOGR,1
2017.180.13.55.29.ASK,1
2009.191.0.2.28.HOTT,0
2009.191.0.2.30.VADA,0
2017.14.2.38.23.TOLI,1
2009.235.19.54.44.SVAD,1
2009.327.23.33.43.SVAD,1
2016.165.1.22.50.FLAT,0
2016.165.1.22.47.UTYR,1
2013.62.19.39.14.HOTT,1
2016.109.18.8.53.LOGR,0
2017.15.0.50.19.JONS,0
2012.156.11.25.52.OSKV,1
2012.156.11.25.51.TOLI,1
2009.173.7.9.34.MYVO,1
2009.173.7.9.32.HELI,1
2013.177.7.44.44.SVAD,1
2009.198.12.36.47.MIDF,1
2009.198.12.36.50.UTYR,1
2009.360.13.56.12.HOTT,1
2013.209.3.14.41.UTYR,1
2016.223.14.45.34.MYVO,0
2010.29.11.46.8.LOKA,0
2009.360.13.56.15.MOFO,0
2013.209.3.14.45.MOFO,0
2017.43.10.10.1.TOLI,0
2013.200.2.51.1.HELI,1
2013.200.2.51.8.DREK,1
2009.229.20.7.57.SVAD,0
2016.164.23.39.56.MYVO,1
2016.164.23.39.56.UTYR,1
2013.200.2.51.3.HETO,0
2009.203.3.51.21.MOFO,1
2009.229.20.7.57.UTYR,1
2013.200.2.51.8.VADA,1
2013.200.2.51.4.MIDF,1
2009.229.20.46.12.MOFO,0
2009.229.20.46.9.UTYR,1
2009.174.22.7.25.MYVO,0
2017.56.18.7.51.TOLI,1
2015.55.7.50.50.HELI,1
2015.55.7.50.55.UTYR,1
2015.55.7.50.55.BRUN,1
2015.55.7.50.54.VIKS,1
2009.173.19.14.43.HELI,0
2015.55.7.50.55.HOTT,1
2009.237.11.40.56.SVAD,1
2013.203.4.18.10.DREK,1
2009.205.13.48.53.MIDF,0
2009.237.23.53.54.MOFO,0
2013.199.11.15.35.HOTT,1
2009.237.23.53.51.HOTT,0
2013.199.11.15.31.MIDF,1
2013.199.11.15.35.DREK,1
2013.199.11.15.37.BRUN,1
2017.153.17.19.36.FLAT,0
2009.220.15.40.20.HOTT,0
2009.277.22.55.45.SVAD,1
2009.220.15.40.25.MYVO,0
2009.277.22.55.42.HELI,1
2009.277.22.55.44.MIDF,1
2009.300.12.13.52.HELI,0
2009.359.2.22.10.MIDF,1
2009.359.2.22.11.SVAD,1
2009.233.10.0.33.MOFO,0
2009.250.1.24.36.HOTT,1
2009.229.6.39.16.MYVO,1
2009.173.21.49.34.HELI,1
2012.170.10.9.24.HRUR,0
2012.170.10.9.22.SVAD,1
2009.272.13.4.16.VADA,0
2013.200.2.47.57.FLAT,1
2013.200.2.47.52.HELI,1
2013.200.2.42.50.FLAT,0
2013.200.2.42.45.HELI,1
2013.200.2.42.48.MIDF,1
2016.180.1.23.14.MYVO,0
2016.180.1.23.14.HELI,1
2016.180.1.23.20.JONS,1
2009.227.22.50.17.HELI,0
2016.180.1.23.18.VIFE,1
2009.227.22.50.22.MOFO,0
2013.184.1.12.43.MIDF,0
2011.125.4.53.56.UTYR,1
